date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:03	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:49:48%20GMT	https://www.fcibank.com.pk/catalog/view/theme/default/images/slider_back.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/images/slider_back.45.delayed	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:21:04	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:49:50%20GMT	https://www.fcibank.com.pk/catalog/view/theme/default/images/slider_top_left_wrap.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/images/slider_top_left_wrap.46.delayed	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:21:06	2126/2126	---M--	200	added ('OK')	image/png	etag:%22240cd8-84e-5302ebbf5864f%22	https://www.fcibank.com.pk/catalog/view/theme/default/image/content_separator.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/image/content_separator.png	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:21:07	8624/8624	---M--	200	added ('OK')	image/png	etag:%22240cc5-21b0-5302ebc6dd73a%22	https://www.fcibank.com.pk/catalog/view/theme/default/image/location_img.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/image/location_img.png	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:21:09	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:49:54%20GMT	https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/img/browser-icons.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/stylesheet/img/browser-icons.49.delayed	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:21:10	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:49:56%20GMT	https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/img/a02.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/stylesheet/img/a02.4a.delayed	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:21:12	1843/1843	---M--	200	added ('OK')	image/png	etag:%22240d02-733-5302ebbdb62e0%22	https://www.fcibank.com.pk/catalog/view/theme/default/image/close_icon.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/image/close_icon.png	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:21:13	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:49:59%20GMT	https://www.fcibank.com.pk//image/data/006.jpg	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/image/data/006.4c.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={3A903319-AC2E-60FE-08D9-E31DB4E06FD6})
14:21:15	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:00%20GMT	https://www.fcibank.com.pk//image/data/f.jpg	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/image/data/f.4d.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={03AB38CB-8A53-FE70-C22F-354F0CDA36E1})
14:21:17	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:02%20GMT	https://www.fcibank.com.pk//image/data/003.jpg	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/image/data/003.4e.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={43051379-7416-4012-6771-DCE7686B8428})
14:21:18	726/726	---MC-	403	error ('Forbidden')	text/html	date:Fri,%2002%20Dec%202022%2008:50:02%20GMT	https://www.fcibank.com.pk//image/	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/image/index.html	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={ED4AFC8A-72FD-785D-C017-0CF3CD122672})
14:21:18	262/262	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:03%20GMT	http://www.fcibank.com.pk/FCIBL-Pattern-of-Shareholding-June-2022-English.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/FCIBL-Pattern-of-Shareholding-June-2022-English.4f.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={43051379-7416-4012-6771-DCE7686B8428})
14:21:19	34092/34092	---M--	200	added ('OK')	application/pdf	etag:%22220bee-852c-5ea5a16430e16%22	https://www.fcibank.com.pk/FCIBL-Pattern-of-Shareholding-June-2022-English.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/FCIBL-Pattern-of-Shareholding-June-2022-English.pdf	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={43051379-7416-4012-6771-DCE7686B8428})
14:21:20	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:06%20GMT	https://www.fcibank.com.pk//image/data/GrantThorntonlogo.gif	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/image/data/GrantThorntonlogo.51.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={DDCD0FB1-F342-F6B8-3CBD-237D5D19E5B8})
14:21:22	15566/15566	---M--	200	added ('OK')	application/pdf	etag:%22222482-3cce-58d670d8c15b0%22	https://www.fcibank.com.pk/TERMS%20OF%20REFERENCE%20OF%20AUDIT%20COMMITTEE.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/TERMS%20OF%20REFERENCE%20OF%20AUDIT%20COMMITTEE.pdf	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={AB9823CC-9CA9-316C-8D68-BB1DD92C7634})
14:21:24	24363/24363	---M--	200	added ('OK')	application/pdf	etag:%22222f8a-5f2b-58d670d980c34%22	https://www.fcibank.com.pk/TORs%20of%20HRRC-FCIBL.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/TORs%20of%20HRRC-FCIBL.pdf	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={AB9823CC-9CA9-316C-8D68-BB1DD92C7634})
14:21:26	34785/34785	---M--	200	added ('OK')	image/jpeg	etag:%22240d05-87e1-5814918356f63%22	https://www.fcibank.com.pk/catalog/view/theme/default/image/secp-2019.jpg	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/image/secp-2019.jpg	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={E7A7116F-9743-6AB6-F2B6-B323F3BCB3E2})
14:21:26	288/288	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:12%20GMT	http://www.fcibank.com.pk/index.php?route=common/page&pageid={F3917791-0AE1-DAD3-8C77-43459D9CA84B}	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/index.55a9b0.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={E7A7116F-9743-6AB6-F2B6-B323F3BCB3E2})
14:21:28	285/285	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:14%20GMT	http://www.fcibank.com.pk/Consent%20for%20the%20transmission%20of%20annual%20audited%20accounts.docx	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Consent%20for%20the%20transmission%20of%20annual%20audited%20accounts.57.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={E7A7116F-9743-6AB6-F2B6-B323F3BCB3E2})
14:21:29	34991/34991	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2008:50:13%20GMT	https://www.fcibank.com.pk/index.php?route=common/page&pageid={F3917791-0AE1-DAD3-8C77-43459D9CA84B}	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/indexa9b0.html	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={E7A7116F-9743-6AB6-F2B6-B323F3BCB3E2})
14:21:30	14214/14214	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%22220be0-3786-5cec2bc654019%22	https://www.fcibank.com.pk/Consent%20for%20the%20transmission%20of%20annual%20audited%20accounts.docx	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Consent%20for%20the%20transmission%20of%20annual%20audited%20accounts.docx	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={E7A7116F-9743-6AB6-F2B6-B323F3BCB3E2})
14:21:31	18755/18755	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%22220bdf-4943-5cf27ac06841b%22	https://www.fcibank.com.pk/Dividend%20Mandate%20Form-Notice.docx	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/Dividend%20Mandate%20Form-Notice.docx	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={E7A7116F-9743-6AB6-F2B6-B323F3BCB3E2})
14:21:32	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:18%20GMT	https://www.fcibank.com.pk//image/data/001.jpg	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/image/data/001.5a.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={E7CDFF78-FC55-3F64-EB5A-94D214CA11D6})
14:21:33	237/237	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:19%20GMT	http://www.fcibank.com.pk/FCIBL-CarLoan_Brochure.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/FCIBL-CarLoan_Brochure.5b.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={E613FF3E-CB98-C1E6-9EC9-B494F7E18F5A})
14:21:36	234/234	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:21%20GMT	http://www.fcibank.com.pk/FCIBL-CF-MutualFund.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/FCIBL-CF-MutualFund.5d.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={AFE058C6-4C41-5D40-844B-EEFC86B4970A})
14:21:36	174530/174530	---M--	200	added ('OK')	application/pdf	etag:%22222fb9-2a9c2-546fe7479ee8c%22	https://www.fcibank.com.pk/FCIBL-CarLoan_Brochure.pdf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/FCIBL-CarLoan_Brochure.pdf	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={E613FF3E-CB98-C1E6-9EC9-B494F7E18F5A})
14:21:37	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:50:24%20GMT	https://www.fcibank.com.pk//image/data/007.jpg	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/image/data/007.5f.delayed	(from https://www.fcibank.com.pk/index.php?route=common/page&pageid={297FA589-B88E-94B3-CFE2-BCA4FFE1AF2E})
